State,Constituency Name,Candidate,Party,Votes Margin,Year
Madhya Pradesh,Bhind,Ashok Argal,BJP,18886,2009
Jharkhand,Chatra,Dhirendra Agarwal,RJD,18855,2004
Orissa,Sundargarh,Jual (Juel Oram),BJP,18829,2014
Jharkhand,Dumka,Shibu Soren,JMM,18812,2009
Bihar,Sasaram,Muni Lall,BJP,18676,1999
Andhra Pradesh,Chittoor,Noothana Kalva Ramakrishna Reddy,TDP,18638,1999
Assam,Dibrugarh,Sarbananda Sonowal,AGP,18554,2004
Andhra Pradesh,Chelvella,Jaipal Sudini Reddy,INC,18532,2009
Gujarat,Patan,Jagdish Thakor,INC,18504,2009
Uttar Pradesh,Badaun,Sangh Mitra Maurya,BJP,18454,2019
West Bengal,Murshidabad,Badaruddoza Khan,CPM,18453,2014
Kerala,Attingal,Anirudhan Sampath,CPM,18341,2009
Uttar Pradesh,Salempur,Ramashankar Rajbhar,BSP,18305,2009
Uttar Pradesh,Shahjahanpur,Kr. Jitendra Prasad,INC,17992,1999
Meghalaya,Tura,Kum. Agatha K. Sangma,NCP,17945,2009
Uttar Pradesh,Amroha,Harish Nagpal,IND,17884,2004
Himachal Pradesh,Kangra,Chander Kumar,INC,17791,2004
Uttar Pradesh,Unnao,Brajesh Pathak,BSP,17761,2004
Manipur,Inner Manipur,Dr Rajkumar Ranjan Singh,BJP,17755,2019
Uttar Pradesh,Aonla,Kunwar Sarvraj Singh,SP,17626,1999
Karnataka,Davanagere,G M Siddeshwara,BJP,17607,2014
Jammu And Kashmir,Jammu,Madan Lal Sharma,INC,17568,2004
Kerala,Kollam,N. Peethambara Kurup,INC,17531,2009
Andhra Pradesh,Zahirabad,Suresh Kumar Shetkar,INC,17407,2009
Uttarakhand,Garhwal,Satpal Maharaj,INC,17397,2009
Bihar,Jahanabad,Arun Kumar,JD(U),17287,1999
Uttar Pradesh,Varanasi,Dr. Murli Manohar Joshi,BJP,17211,2009
Gujarat,Sabarkantha,Dr. Mahendrasinh Pruthvisinh Chauhan,BJP,17160,2009
Gujarat,Patan,Rashtrapal Pravinchandra Somabhai,INC,17127,1999
Chhattisgarh,Durg,Tamradhwaj Sahu,INC,16848,2014
Assam,Nowgong,Pradyut Bordoloi,INC,16752,2019
Maharashtra,Ramtek,Mukul Balkrishna Wasnik,INC,16701,2009
Telangana,Nagarkurnool,Yellaiah Nandi,INC,16676,2014
Uttar Pradesh,Bulandshahr,Kalyan Singh,BJP,16651,2004
Uttar Pradesh,Aligarh,Smt. Raj Kumari Chauhan,BSP,16557,2009
Uttar Pradesh,Bansgaon,Mahaveer Prasad,INC,16441,2004
Assam,Mangaldoi,Madhab Rajbangshi,INC,16434,1999
Nagaland,Nagaland,Tokheho Yepthomi,NDPP,16344,2019
Karnataka,Davanagere,G.Mallikarjunappa,BJP,16269,1999
Uttar Pradesh,Salempur,Harikeval Prasad,SP,16253,2004
Jharkhand,Chatra,Inder Singh Namdhari,IND,16178,2009
Orissa,Nowrangpur,Parsuram Majhi,BJP,16151,1999
Karnataka,Chamarajanagar,V.Sreenivasaprasad,JD(U),16146,1999
Rajasthan,Jaipur,Dr. Mahesh Joshi,INC,16099,2009
Andhra Pradesh,Bapatla,Nandigam Suresh,YSRCP,16065,2019
Delhi,South Delhi,Vijay Kumar Malhotra,BJP,16005,2004
Delhi,Delhi Sadar,Jagdish Tytler,INC,15974,2004
Madhya Pradesh,Seoni,Ram Naresh Tripathi,BJP,15934,1999
Uttar Pradesh,Robertsganj,Ram Shakal,BJP,15928,1999
Uttar Pradesh,Gautam Buddha Nagar,Surendra Singh Nagar,BSP,15904,2009
Andhra Pradesh,Peddapalli,Dr.Smt.C. Suguna Kumari,TDP,15889,1999
Madhya Pradesh,Ujjain,Prem Chand Guddu,INC,15841,2009
Uttar Pradesh,Tehri Garhwal,Manabendra Shah,BJP,15771,1999
Tamil Nadu,Virudhunagar,Manicka Tagore,INC,15764,2009
Andhra Pradesh,Ongole,Y.V.Subba Reddy,YSRCP,15658,2014
Manipur,Outer Manipur,Thangso Baite,INC,15637,2014
Uttar Pradesh,Ballia,Virendra Singh Mast,BJP,15519,2019
West Bengal,Murshidabad,Abdul Mannan Hossain,INC,15480,2004
Madhya Pradesh,Dewas,Sajjan Singh Verma,INC,15457,2009
Madhya Pradesh,Mahasamund,Shyama Charan Shukla,INC,15435,1999
Jharkhand,Ranchi,Subodh Kant Sahay,INC,15421,2004
Andhra Pradesh,Anakapalli,Chalapathirao Pappala,TDP,15414,2004
Maharashtra,Yavatmal,Uttamrao Deorao Patil,INC,15226,1999
Maharashtra,Nashik,Pingale Devidas Anandrao,NCP,15058,2004
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Delkar Mohanbhai Sanjibhai,IND,14878,1999
Orissa,Sambalpur,Amarnath Pradhan,INC,14874,2009
Punjab,Ferozpur,Zora Singh,SAD,14861,1999
West Bengal,Barrackpore,Shri Arjun Singh,BJP,14857,2019
Orissa,Sambalpur,Prasanna Acharya,BJD,14770,2004
Maharashtra,Kolhapur,Mandlik Sadashivrao Dadoba,NCP,14753,2004
Uttar Pradesh,Sultanpur,Jai Bhadra Singh,BSP,14599,1999
Uttar Pradesh,Phulpur,Kapil Muni Karwariya,BSP,14578,2009
Haryana,Ambala,Kumari Selja,INC,14570,2009
Uttar Pradesh,Sultanpur,Maneka Gandhi,BJP,14526,2019
Gujarat,Mehsana,Jivabhai Ambalal Patel,INC,14511,2004
Kerala,Trivandrum,Advocate V.S. Sivakumar,INC,14485,1999
Goa,Mormugao,Angle Ramakant Soiru,BJP,14457,1999
Telangana,Chelvella,Dr.G. Ranjith Reddy,TRS,14317,2019
Maharashtra,Amravati,Anant Gudhe,SHS,14234,2004
Madhya Pradesh,Janjgir,Dr. Charandas Mahant,INC,14233,1999
Rajasthan,Bhilwara,Vijayendra Pal Singh,BJP,14229,1999
Bihar,Dhanbad,Rita Verma,BJP,14226,1999
Maharashtra,Ramtek,Mohite Subodh Baburao,SHS,14102,2004
Bihar,Katihar,Nikhil Kumar Choudhary,BJP,14015,2009
Himachal Pradesh,Mandi,Virbhadra Singh,INC,13997,2009
Uttar Pradesh,Chandauli,Mahendra Nath Pandey,BJP,13959,2019
Andaman and Nicobar Islands,Andaman & Nicobar Islands,Bishnu Pada Ray,BJP,13947,1999
Andhra Pradesh,Narasaraopet,Janardhanareddy Nedurumalli,INC,13882,1999
Delhi,Delhi Sadar,Madan Lal Khurana,BJP,13870,1999
Gujarat,Junagadh,Dinubhai Boghabhai Solanki,BJP,13759,2009
Madhya Pradesh,Damoh,Dr. Ramkrishna Kusmaria,BJP,13719,1999
Kerala,Ottapalam,S. Ajayakumar,CPM,13715,1999
Punjab,Hoshiarpur,Vijay Sampla,BJP,13582,2014
Jammu And Kashmir,Anantnag,Ali Mohd Naik,JKN,13492,1999
Andhra Pradesh,Nellore,Mekapati Rajamohan Reddy,YSRCP,13478,2014
Uttar Pradesh,Sambhal,Shafiqur Rahman Barq,BSP,13464,2009
Karnataka,Mysore,Srikantadatta Narasimharaja Wadiyar,INC,13431,1999
Madhya Pradesh,Shahdol,Smt. Rajesh Nandini Singh,INC,13415,2009
Karnataka,Gulbarga,Mallikarjun Kharge,INC,13404,2009
Jammu And Kashmir,Udhampur,Chaudhary Lal Singh,INC,13394,2009
Andhra Pradesh,Warangal,Bodakunti Venkateshwarlu,TDP,13366,1999
Uttar Pradesh,Jalaun,Brij Lal Khabri,BSP,13352,1999
Jharkhand,Ranchi,Subodh Kant Sahai,INC,13350,2009
Karnataka,Tumkur,Shri G.S Basavaraj,BJP,13339,2019
Maharashtra,Mumbai-North-Central,Eknath M. Gaikwad,INC,13329,2004
Andhra Pradesh,Parvathipuram,Dadichiluka Veera Gouri Sankara Rao,TDP,13281,1999
Tamil Nadu,Kancheepuram,Viswanathan Perumal,INC,13103,2009
Maharashtra,Dhule,Ramdas Rupla Gavit,BJP,12985,1999
Uttar Pradesh,Bhadohi,Gorakh Nath Pandey,BSP,12963,2009
Orissa,Balasore,Shri Pratap Sarangi,BJP,12956,2019
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Delkar Mohanbhai Sanjibhai,BNP,12893,2004
Bihar,Purnia,Uday Singh,BJP,12883,2004
Bihar,Jhanjharpur,Devendra Prasad Yadav,RJD,12835,2004
Maharashtra,Ichalkaranji,Mane Nivedita Sambhajirao,NCP,12812,1999
Tamil Nadu,Chengalpattu,"Moorthy, A.K.",PMK,12811,1999
Delhi,New Delhi,Ajay Makan,INC,12784,2004
Andhra Pradesh,Vijayawada,Rajagopal Lagadapati,INC,12712,2009
Bihar,Samastipur,Manjay Lal,JD(U),12688,1999
Uttar Pradesh,Kaiserganj,Beni Prasad Verma,SP,12660,2004
Maharashtra,Hingoli,Suryakanta Patil,NCP,12545,2004
Goa,South Goa,Francisco Sardinha,INC,12516,2009
Karnataka,Koppal,H.G.Ramulu,INC,12512,1999
Andhra Pradesh,Tirupati,Dr.N.Venkataswamy,BJP,12497,1999
West Bengal,Hooghly,Rupchand Pal,CPM,12485,1999
Arunachal Pradesh,Arunachal East,Ninong Ering,INC,12478,2014
Andhra Pradesh,Machilipatnam,Konakalla Narayana Rao,TDP,12456,2009
Delhi,Karol Bagh,Anita Arya,BJP,12454,1999
Rajasthan,Churu,Ram Singh Kaswan,BJP,12440,2009
Sikkim,Sikkim,Indra Hang Subba,SKM,12433,2019
Gujarat,Dohad,Katara Babubhai Khimabhai,BJP,12431,1999
Maharashtra,Palghar,Baliram Sukur Jadhav,BVA,12360,2009
Uttar Pradesh,Kannauj,Subrat Pathak,BJP,12353,2019
West Bengal,Barasat,Subrata Bose,AIFB,12160,2004
Orissa,Koraput,Hema Gamang,INC,12154,1999
West Bengal,Contai,Neetish Sengupta,AITC,12133,1999
Bihar,Balia,Ramjivan Singh,JD(U),12032,1999
Telangana,Khammam,Ponguleti Srinivasa Reddy,YSRCP,11974,2014
Uttar Pradesh,Hapur,Ramesh Chand Tomar,BJP,11958,1999
Assam,Gauhati,Smt. Bijoya Chakravarty,BJP,11855,2009
Kerala,Ernakulam,Prof. Kuruppassery Varkey Thomas,INC,11790,2009
West Bengal,Jhargram,Dr Kunar Hembram,BJP,11767,2019
Uttar Pradesh,Kheri,Ravi Prakash Verma,SP,11760,2004
Orissa,Puri,Pinaki Mishra,BJD,11714,2019
Maharashtra,Ramtek,Subodh Mohite,SHS,11689,1999
Uttar Pradesh,Hamirpur,Ashok Kumar Singh Chandel,BSP,11664,1999
Karnataka,Kolar,K.H. Muniyappa,INC,11635,2004
Kerala,Trichur,A.C. Jose,INC,11632,1999
Orissa,Sundargarh,Hemanand Biswal,INC,11624,2009
Bihar,Buxar,Lal Muni Choubey,BJP,11606,1999
Punjab,Ferozpur,Zora Singh Maan,SAD,11539,2004
Madhya Pradesh,Indore,Smt. Sumitra Mahajan,BJP,11480,2009
Uttar Pradesh,Almora,Bachi Singh Rawat,BJP,11459,1999
Uttar Pradesh,Jalaun,Ghanshyam Anuragi,SP,11409,2009
Chhattisgarh,Janjgir,Karuna Shukla,BJP,11329,2004
Orissa,Bargarh,Prabhas Kumar Singh,BJD,11178,2014
Karnataka,Chitradurga,Shashi Kumar,JD(U),11178,1999
Uttar Pradesh,Ghazipur,Manoj,BJP,11033,1999
Ladakh,Ladakh,Shri Jamyang Tsering Namgyal,BJP,10930,2019
Telangana,Malkajgiri,Anumula Revanth Reddy,INC,10919,2019
Andhra Pradesh,Chittoor,Dr. Naramalli Sivaprasad,TDP,10659,2009
Uttar Pradesh,Maharajganj,Akhilesh Singh,SP,10644,1999
Kerala,Kottayam,Suresh Kurup,CPM,10599,1999
Karnataka,Kanara,Alva Margaret,INC,10591,1999
Jharkhand,Lohardaga,Shri Sudarshan Bhagat,BJP,10363,2019
Uttar Pradesh,Robertsganj,Lalchandra,BSP,10362,2004
Uttar Pradesh,Ghatampur,Radhey Shyam Kori,SP,10312,2004
Kerala,Cannanore,A.P. Abdullakkutty,CPM,10247,1999
Maharashtra,Mumbai-South,Milind Murli Deora,INC,10246,2004
Maharashtra,Mumbai-South,Jayawanti Mehta,BJP,10243,1999
Bihar,Kodarma,Tilakdhari Pd Singh,INC,10178,1999
Karnataka,Mysore,C. H. Vijayashankar,BJP,10150,2004
Bihar,Banka,Jai Prakash Narayan Yadav,RJD,10144,2014
Uttarakhand,Almora,Bachi Singh Rawat,BJP,10052,2004
West Bengal,Nabadwip,Alakesh Das,CPM,9991,2004
Chhattisgarh,Durg,Km. Saroj Pandey,BJP,9954,2009
Uttar Pradesh,Fatehpur Sikri,Smt. Seema Upadhyay,BSP,9936,2009
Bihar,Madhubani,Hukmdev Narayan Yadav,BJP,9927,2009
Jammu And Kashmir,Baramulla,Abdul Rashid Shaheen,JKN,9895,2004
Goa,South Goa,Cosme Francisco Caitano Sardinha,INC,9755,2019
Uttar Pradesh,Agra,Prof.(Dr.) Ram Shankar,BJP,9715,2009
Bihar,Muzaffarpur,George Fernandes,JD(U),9693,2004
Uttar Pradesh,Bansgaon,Raj Narayan Pasi,BJP,9688,1999
Bihar,Nalanda,Kaushlendra Kumar,JD(U),9627,2014
Karnataka,Chikkaballapur,M Veerappa Moily,INC,9520,2014
Tamil Nadu,Pollachi,"Krishnan, Dr.C.",MDMK,9515,1999
Bihar,Bhagalpur,Shailesh Kumar Urph Bulo Mandal,RJD,9485,2014
Tamil Nadu,Tindivanam,Ramachandran N. Gingee.,MDMK,9350,1999
Uttar Pradesh,Bareilly,Praveen Singh. Aron,INC,9338,2009
Kerala,Idukki,K. Francis George,KEC,9298,1999
Orissa,Sambalpur,Shri Nitesh Ganga Deb,BJP,9162,2019
Uttar Pradesh,Salempur,Babban Rajbhar,BSP,9050,1999
Dadar & Nagar Haveli,Dadar & Nagar Haveli,Delkar Mohanbhai Sanjibhai,Independent,9001,2019
Jharkhand,Rajmahal,Devidhan Besra,BJP,8983,2009
Uttar Pradesh,Kheri,Zafar Ali Naqvi,INC,8777,2009
Andhra Pradesh,Vijayawada,KESINENI SRINIVAS,TDP,8726,2019
Maharashtra,Akola,Ambedkar Prakash Yashwant,BBM,8716,1999
Madhya Pradesh,Satna,Ganesh Singh,BJP,8688,2014
Bihar,Kishanganj,Syed Shahnawaz Hussain,BJP,8648,1999
Uttar Pradesh,Jaunpur,Chinmayanand,BJP,8635,1999
Maharashtra,Jalna,Raosaheb Patil Danve,BJP,8482,2009
Karnataka,Mangalore,V.Dhananjaya Kumar,BJP,8469,1999
Uttar Pradesh,Padrauna,Baleshwar Yadav,NLP,8422,2004
Andhra Pradesh,Khammam,Renuka Chowdhury,INC,8398,1999
Rajasthan,Alwar,Dr. Karan Singh Yadav,INC,8371,2004
Punjab,Gurdaspur,Sardar Partap Singh Bajwa,INC,8342,2009
Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,8283,2009
West Bengal,Maldaha Dakshin,Abu Hasem Khan Chowdhury,INC,8222,2019
Manipur,Inner Manipur,Th. Chaoba,MSCP,8195,1999
West Bengal,Jangipur,Abhijit Mukherjee,INC,8161,2014
Maharashtra,Erandol,Annasaheb M. K. Patil,BJP,8141,2004
Mizoram,Mizoram,C Lalrosanga,MNF,8140,2019
Uttar Pradesh,Jalesar,Prof. S.P. Singh Baghel,SP,8062,1999
Maharashtra,Latur,Jayawant Gangaram Awale,INC,7975,2009
Orissa,Mayurbhanj,Sudam Marndi,JMM,7972,2004
Assam,Karimganj,Lalit Mohan Suklabaidya,INC,7920,2009
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Bishnu Pada Ray,BJP,7812,2014
Maharashtra,Dhule,Chaure Bapu Hari,INC,7765,2004
Karnataka,Mysore,Adagooru Huchegowda Vishwanath,INC,7691,2009
Uttar Pradesh,Aonla,Smt. Maneka Gandhi,BJP,7681,2009
Haryana,Sonipat,Kishan Singh Sangwan,BJP,7569,2004
Haryana,Rohtak,Arvind Sharma,BJP,7503,2019
Bihar,Aurangabad,Nikhil Kumar,INC,7460,2004
Andhra Pradesh,Parvathipuram,Kishore Chandra Suryanarayana Deo Vyricherla,INC,7418,2004
Kerala,Mavelikkara,C. S. Sujatha,CPM,7414,2004
Rajasthan,Ganganagar,Nihalchand Meghwal,BJP,7393,2004
Uttar Pradesh,Gorakhpur,Aditya Nath,BJP,7339,1999
Maharashtra,Mumbai-North-East,Kirit Somaiya,BJP,7276,1999
Gujarat,Valsad,Kishanbhai Vestabhai Patel,INC,7169,2009
Maharashtra,Wardha,Prabha Rao,INC,7062,1999
Haryana,Hisar,Bhajan Lal,HJCBL,6983,2009
Uttarakhand,Almora,Pradeep Tamta,INC,6950,2009
Madhya Pradesh,Bhind,Dr. Ramlakhan Singh,BJP,6946,2004
Gujarat,Banaskantha,Chavda Harisinhaji Pratapsinhaji,INC,6928,2004
Chhattisgarh,Kanker,Shri Mohan Mandav,BJP,6914,2019
Bihar,Samastipur,Ram Chandra Paswan,LJP,6872,2014
Uttar Pradesh,Aonla,Kunwar Sarvraj Singh,JD(U),6871,2004
Punjab,Amritsar,Navjot Singh Sidhu,BJP,6858,2009
Maharashtra,Osmanabad,Dr. Padmasinha Bajirao Patil,NCP,6787,2009
Jammu & Kashmir,Anantnag,Hasnain Masoodi,JKPDP,6676,2019
Andhra Pradesh,Srikakulam,KINJARAPU RAM MOHAN NAIDU,TDP,6653,2019
Tamil Nadu,Ramanathapuram,Malaisamy.K.,ADMK,6646,1999
Gujarat,Baroda,Jayaben Thakkar,BJP,6603,2004
Madhya Pradesh,Mandla,Faggan Singh Kulaste,BJP,6572,1999
Uttar Pradesh,Muzaffarnagar,Sanjeev Balyan,BJP,6526,2019
Jharkhand,Lohardaga,Sudarshan Bhagat,BJP,6489,2014
Jharkhand,Godda,Nishikant Dubey,BJP,6407,2009
Goa,North Goa,Shripad Yesso Naik,BJP,6353,2009
Tamil Nadu,Theni,J.M. Aaroon Rasheed,INC,6302,2009
Telangana,Zahirabad,B.B. Patil,TRS,6229,2019
Dadar & Nagar Haveli,Dadar & Nagar Haveli,Patel Natubhai Gomanbhai,BJP,6214,2014
Mizoram,Mizoram,C. L. RUALA,INC,6154,2014
Andhra Pradesh,Medak,Smt. M. Vijaya Shanthi,TRS,6077,2009
Uttar Pradesh,Pratapgarh,Rajkumari Ratna Singh,INC,6003,1999
Gujarat,Bhavnagar,Rajendrasinh (Raju Rana) Rana,BJP,5893,2009
Maharashtra,Solapur,Deshmukh Subhash Sureshchandra,BJP,5798,2004
Maharashtra,Mumbai-North,Sanjay Nirupam,INC,5779,2009
Madhya Pradesh,Raigarh,Vishnudeo Sai,BJP,5773,1999
Uttar Pradesh,Bahraich,Padamsen Chaudhary,BJP,5751,1999
Gujarat,Porbandar,Patel Harilal Madhavjibhai (Haribhai Patel),BJP,5703,2004
Uttar Pradesh,Kanpur,Shriprakash Jaiswal,INC,5638,2004
Gujarat,Jamnagar,Ahir Vikrambhai Arjanbhai Madam,INC,5593,2004
Karnataka,Mandya,C.S.Puttaraju,JD(S),5518,2014
Chandigarh,Chandigarh,Pawan Kumar Bansal,INC,5449,1999
Uttar Pradesh,Hardoi,Jai Prakash,ABLTC,5404,1999
Uttar Pradesh,Shrawasti,Shri Ram Shiromani,BSP,5320,2019
Uttar Pradesh,Sitapur,Rajesh Verma,BSP,5234,2004
Jammu And Kashmir,Anantnag,Dr. Mirza Mehboob Beg,J&KNC,5224,2009
Gujarat,Dhandhuka,Varma Ratilal Kalidas,BJP,5223,1999
Telangana,Bhongir,Komati reddy Venkat Reddy,INC,5219,2019
Uttar Pradesh,Sambhal,Satyapal Singh,BJP,5174,2014
Punjab,Faridkot,Jagmeet Singh Brar,INC,5148,1999
West Bengal,Balurghat,Prasanta Kumar Majumdar,RSP,5105,2009
Madhya Pradesh,Sidhi,Chandra Pratap Singh ( Baba Sahab),BJP,4855,1999
Gujarat,Surendranagar,Somabhai Gandalal Koli Patel,INC,4831,2009
Uttar Pradesh,Meerut,Rajendra Agrawal,BJP,4729,2019
Bihar,Banka,Giridhari Yadav,RJD,4669,2004
Bihar,Dumka,Babu Lal Marandi,BJP,4648,1999
Tamil Nadu,Tiruchengode,"Kannappan, M.",MDMK,4556,1999
Maharashtra,Mgaon,Harischandra Devram Chavan,BJP,4528,2004
Uttar Pradesh,Kheri,Ravi Prakash Verma,SP,4515,1999
Maharashtra,Aurangabad,Imtiaz Jaleel Syed,Others,4492,2019
Madhya Pradesh,Satna,Ganesh Singh,BJP,4418,2009
Andhra Pradesh,Visakhapatnam,M V V SATYANARAYANA,YSRCP,4414,2019
Maharashtra,Mgaon,Mahale Haribahu Shankar,JD(S),4392,1999
Tamil Nadu,Tiruchirappalli,P. Kumar,AIADMK,4335,2009
Gujarat,Kutch,Gadhvi Pushpadan Sambhudan,BJP,4315,1999
Chhattisgarh,Korba,Dr. Banshilal Mahto,BJP,4265,2014
Uttar Pradesh,Misrikh,Sushila Saroj,SP,4207,1999
Andhra Pradesh,Guntur,JAYADEV GALLA,TDP,4205,2019
Madhya Pradesh,Rewa,Deoraj Singh Patel,BSP,4021,2009
Karnataka,Chamarajanagar,Rangaswamy Dhruvanarayana,INC,4002,2009
Maharashtra,Satara,Laxmanrao Pandurang Jadhav (Patil),NCP,3957,2004
Bihar,Lohardaga,Dukha Bhagat,BJP,3823,1999
Andhra Pradesh,Bobbili,Botcha Satyanarayana,INC,3821,1999
Maharashtra,Bhandara,Chunnilalbhau Thakur,BJP,3819,1999
Ladakh,Ladakh,Hassan Khan,IND,3684,2009
Orissa,Dhenkanal,Kamakhya Prasad Singh Deo,INC,3674,1999
Gujarat,Anand,Patel Dipakbhai Chimanbhai (Sathi),BJP,3661,1999
Orissa,Koraput,Saptagiri Ulaka,INC,3613,2019
Andhra Pradesh,Nizamabad,Ganga Reddy Gaddam,TDP,3436,1999
Andhra Pradesh,Kakinada,Thota Narasimham,TDP,3431,2014
Madhya Pradesh,Satna,Ramanand Singh,BJP,3405,1999
Tamil Nadu,Sivaganga,Palaniappan Chidambaram,INC,3354,2009
Daman And Diu,Daman And Diu,Patel Dahyabhai Vallabhbhai,INC,3226,1999
Uttar Pradesh,Bilhaur,Shyam Bihari Mishra,BJP,3223,1999
Tamil Nadu,Chidambaram,Thirumaavalavan Thol,Others,3219,2019
Lakshadweep,Lakshadweep,P.M. Sayeed,INC,3189,1999
Maharashtra,Wardha,Wagmare Suresh Ganapat,BJP,3188,2004
Kerala,Chirayinkil,Varkala Radhakrishnan,CPM,3128,1999
Maharashtra,Bhandara,Patle Shishupal Natthu,BJP,3009,2004
Karnataka,Chikkodi,Prakash Babanna Hukkeri,INC,3003,2014
Andaman and Nicobar Islands,Andaman & Nicobar Islands,Bishnu Pada Ray,BJP,2990,2009
Jharkhand,Rajmahal,Hemlal Murmu,JMM,2974,2004
Maharashtra,Mumbai-North-East,Sanjay Dina Patil,NCP,2933,2009
Tamil Nadu,Karur,"Chinnasamy, M.",ADMK,2847,1999
Maharashtra,Chandrapur,Puglia Nareshkumar Chunnalal,INC,2837,1999
Tamil Nadu,Viluppuram,K. Murugesan Anandan,AIADMK,2797,2009
Uttar Pradesh,Aligarh,Bijendra Singh,INC,2791,2004
Uttar Pradesh,Farrukhabad,Chandra Bhushan Singh (Munnoo Babu),SP,2745,2004
Madhya Pradesh,Dhar,Gajendra Singh Rajukhedi,INC,2661,2009
Telangana,Mahabubnagar,Ap Jithender Reddy,TRS,2590,2014
Uttar Pradesh,Mohanlalganj,Jai Prakash,SP,2568,2004
Bihar,Katihar,Nikhil Kumar Choudhary,BJP,2565,2004
Bihar,Sheohar,Md Anwarul Haque,RJD,2535,1999
West Bengal,Burdwan - Durgapur,Shri S. S Ahluwalia,BJP,2439,2019
Karnataka,Tumkur,S. Mallikarjunaiah,BJP,2351,2004
Karnataka,Bellary,Smt. J. Shantha,BJP,2243,2009
Bihar,Buxar,Jagadanand Singh,RJD,2238,2009
Lakshadweep,Lakshadweep,Hamdullah Sayeed,INC,2198,2009
Bihar,Araria,Sukdeo Paswan,RJD,2169,1999
Andhra Pradesh,Rajahmundry,Aruna Kumar Vundavalli,INC,2147,2009
Maharashtra,Raigad,Anant Geete,SHS,2110,2014
Ladakh,Ladakh,Hassan Khan,JKN,2090,1999
Gujarat,Panchmahal,Prabhatsinh Pratapsinh Chauhan,BJP,2081,2009
Orissa,Nabarangpur,Balabhadra Majhi,BJD,2042,2014
Gujarat,Amreli,Virjibhai Thummar,INC,2030,2004
Karnataka,Davanagere,Gowdar Mallikarjunappa Siddeshwara,BJP,2024,2009
Delhi,Chandni Chowk,Vijay Goel,BJP,1995,1999
Andhra Pradesh,Hindupur,Nizamoddin,INC,1840,2004
Uttar Pradesh,Basti,Shriram Chauhan,BJP,1832,1999
Kerala,Palakkad,M. B. Rajesh,CPM,1820,2009
Karnataka,Chamarajanagar,R.Dhruvanarayana,BJP,1817,2019
Bihar,Jahanabad,Chandeshwar Prasad,JD(U),1751,2019
Uttar Pradesh,Chandauli,Kailash Nath Singh Yadav,BSP,1669,2004
Maharashtra,Osmanabad,Narhire Kalpana Ramesh,SHS,1649,2004
West Bengal,Raiganj,Md. Salim,CPM,1634,2014
Maharashtra,Hingoli,Rajeev Shankarrao Satav,INC,1632,2014
Andhra Pradesh,Narasaraopet,Modugula Venugopala Reddy,TDP,1607,2009
Lakshadweep,Lakshadweep,Mohammed Faizal P.P.,NCP,1535,2014
Karnataka,Raichur,B.V.Nayak,INC,1499,2014
Jharkhand,Khunti,Shri Arjun Munda,BJP,1445,2019
Andaman and Nicobar Islands,Andaman and Nicobar Islands,Kuldeep Rai Sharma,INC,1407,2019
Punjab,Gurdaspur,Vinod Khanna,BJP,1399,1999
Bihar,Barh,Nitish Kumar,JD(U),1335,1999
Arunachal Pradesh,Arunachal West,Takam Sanjoy,INC,1314,2009
Chhattisgarh,Mahasamund,Chandu Lal Sahu (Chandu Bhaiya),BJP,1217,2014
Gujarat,Chhota Udaipur,Ramsinh Rathawa,BJP,1198,1999
West Bengal,Arambagh,Aparupa Poddar,AITC,1142,2019
Uttar Pradesh,Fatehpur,Ashok Patel,BJP,1063,1999
Kerala,Alleppey,Dr. K. S. Manoj,CPM,1009,2004
Tamil Nadu,Tenkasi,"Murugesan,S.",ADMK,887,1999
Gujarat,Kheda,Dinsha J. Patel,INC,846,2009
Kerala,Kozhikode,M. K. Raghavan,INC,838,2009
Lakshadweep,Lakshadweep,Mohd.Faizal P.P,NCP,823,2019
Uttar Pradesh,Chail,Shailendra Kumar,SP,630,2004
Dadra And Nagar Haveli,Dadra And Nagar Haveli,Natubhai Gomanbhai Patel,BJP,618,2009
Daman And Diu,Daman And Diu,Patel Dahyabhai Vallabhbhai,INC,607,2004
Kerala,Muvattupuzha,P. C. Thomas (Pullolil),IFDP,529,2004
Karnataka,Raichur,A.Venkatesh Naik,INC,508,2004
Uttar Pradesh,Chandauli,Ramkishun,SP,459,2009
Punjab,Hoshiarpur,Smt. Santosh Chowdhary,INC,366,2009
Gujarat,Dohad,Katara Babubhai Khimabhai,BJP,361,2004
Rajasthan,Tonk-Sawai Madhopur,Namo Narain Meena,INC,317,2009
Uttar Pradesh,Machhlishahr,B P Saroj,BJP,181,2019
Uttar Pradesh,Ghatampur,Pyare Lal Sankhwar,BSP,105,1999
Lakshadweep,Lakshadweep,Dr. P. Pookunhikoya,JD(U),71,2004
Ladakh,Ladakh,Thupstan Chhewang,BJP,36,2014
